State,White,Black,Hispanic,Asian,American Indian,Native Haiwaiian,Multiple,Income,Minority,Location,Wealth
Arizona,54.20%,4.30%,31.80%,3.30%,3.90%,0.20%,2.40%,70674,Hispanic,Southwest,High
California,36.40%,5.30%,39.50%,14.70%,0.40%,0.40%,3.30%,78105,Hispanic,West,High
Colorado,67.80%,3.80%,21.80%,3.20%,0.50%,0.10%,2.80%,72499,Hispanic,West,High
Connecticut,65.70%,10.00%,16.90%,4.60%,0.20%,N/A,2.60%,87291,Hispanic,North,High
Florida,53.00%,15.00%,26.60%,2.70%,0.20%,0.10%,2.40%,58368,Hispanic,South,Low
Idaho,81.60%,0.70%,12.90%,1.20%,0.90%,N/A,2.60%,65988,Hispanic,West,Mid
Illinois,60.90%,13.60%,17.60%,5.60%,0.10%,<.01,2.20%,74399,Hispanic,Midwest,High
Iowa,85.30%,3.90%,6.30%,2.30%,0.30%,<.01,1.90%,66054,Hispanic,Midwest,Mid
Kansas,75.70%,5.50%,12.20%,2.80%,0.60%,N/A,3.20%,73151,Hispanic,Midwest,High
Massachusetts,70.50%,7.00%,12.40%,6.70%,0.20%,<.01,3.20%,87707,Hispanic,North,High
Montana,86.10%,0.60%,3.70%,0.80%,6.10%,N/A,2.80%,60195,Hispanic,West,Mid
Nebraska,78.50%,4.80%,11.30%,2.40%,0.80%,N/A,2.10%,73071,Hispanic,Midwest,HIgh
Nevada,47.80%,9.20%,29.30%,8.50%,0.90%,0.60%,3.70%,70906,Hispanic,West,High
New Hampshire,89.80%,1.30%,3.90%,2.60%,N/A,N/A,2.10%,86900,Hispanic,North,High
New Jersey,54.50%,12.40%,21.00%,9.60%,0.10%,N/A,2.40%,87726,Hispanic,North,High
New Mexico,36.70%,1.70%,49.50%,1.60%,8.70%,N/A,1.80%,53113,Hispanic,Midwest,Low
New York,55.20%,14.00%,19.30%,8.60%,0.20%,N/A,2.70%,71855,Hispanic,North,High
Oklahoma,65.00%,6.90%,11.10%,2.10%,7.70%,0.10%,7.10%,59397,Hispanic,Southwest,Low
Oregon,75.00%,1.80%,13.40%,4.70%,0.90%,0.30%,4.00%,74413,Hispanic,West,High
Puerto Rico,65.90%,11.70%,98.70%,0.20%,0.20%,N/A,5.30%,20296,Hispanic,Other,Low
Rhode Island,70.50%,5.90%,16.60%,3.30%,0.20%,N/A,3.30%,70151,Hispanic,North,High
Texas,41.10%,11.70%,40.00%,5.00%,0.30%,0.10%,1.90%,67444,Hispanic,Southwest,Mid
Utah,77.80%,1.00%,14.40%,2.30%,1.00%,0.80%,2.70%,84523,Hispanic,West,High
Vermont,92.80%,1.10%,1.80%,1.60%,0.70%,N/A,2.00%,74305,Hispanic,North,High
Washington,67.50%,3.80%,13.00%,8.90%,1.10%,0.60%,5.00%,82454,Hispanic,West,High
Wisconsin,81.10%,6.20%,7.10%,3.00%,0.70%,N/A,2.00%,67355,Hispanic,Midwest,Mid
Wyoming,83.80%,1.00%,10.10%,0.60%,2.20%,N/A,2.10%,65134,Hispanic,West,Mid